class,precision,recall,f1,support
Benign,99.93%,99.91%,99.92%,14674.0
DrDoS_DNS,54.55%,45.82%,49.80%,550.0
DrDoS_NTP,99.90%,99.43%,99.67%,18205.0
DrDoS_SNMP,63.60%,79.66%,70.73%,408.0
LDAP_Attack,62.96%,77.89%,69.63%,502.0
MSSQL_Attack,89.53%,90.91%,90.22%,2211.0
NetBIOS_Attack,54.51%,67.91%,60.48%,187.0
Portmap,29.38%,60.78%,39.62%,102.0
Syn,99.93%,98.41%,99.16%,7406.0
TFTP,100.00%,99.41%,99.71%,14838.0
UDP-lag,80.00%,83.35%,81.64%,1339.0
UDP_Attack,95.00%,92.96%,93.97%,4276.0
