class,precision,recall,f1,support
DrDoS_DNS,55.73%,46.00%,50.40%,550.0
DrDoS_NTP,99.90%,99.43%,99.67%,18205.0
DrDoS_SNMP,63.60%,79.66%,70.73%,408.0
LDAP_Attack,63.02%,78.09%,69.75%,502.0
MSSQL_Attack,89.53%,90.91%,90.22%,2211.0
NetBIOS_Attack,54.27%,67.91%,60.33%,187.0
Portmap,29.11%,60.78%,39.37%,102.0
Syn,99.95%,98.42%,99.18%,7406.0
TFTP,100.00%,99.41%,99.71%,14838.0
UDP-lag,79.89%,83.35%,81.58%,1339.0
UDP_Attack,95.00%,92.96%,93.97%,4276.0
